ID,date_1,date_2,date_3,date_4,accents
1,2009-01-11,1989-04-13, 9/5/1995, 11-1-2009,ÂéüÒÑ
2,1985-12-05,2007-04-11, 20/4/2009, 5-12-1985,ÂéüÒÑ
3,2008-07-18,2000-03-02, 15/11/1982, 18-7-2008,ÂéüÒÑ
4,1992-07-23,2009-04-15, 10/10/1995, 23-7-1992,ÂéüÒÑ
5,2006-11-07,2003-04-26, 17/6/1998, 7-11-2006,ÂéüÒÑÂ
6,2000-10-09,2003-07-28, 30/7/1996, 9-10-2000,ÂéüÒÑ€ȁȂȃȄȅȧȫȮȯȞȲ
7,1995-09-11,1984-06-19, 16/2/2009, 11-9-1995,ÂéüÒÑ
8,1987-08-06,1987-10-29, 5/8/1989, 6-8-1987,ÂéüÒÑ
9,1995-08-25,2006-05-12, 31/7/1983, 25-8-1995,ÂéüÒÑ
10,1995-09-27,1999-02-19, 1/9/1992, 27-9-1995,ÂéüÒÑ
11,1989-03-21,1985-04-30, 7/10/1984, 21-3-1989,ÂéüÒÑ
12,2004-07-11,1986-02-28, 12/4/2004, 11-7-2004,ÂéüÒÑ
13,1985-07-07,1998-12-05, 9/2/1991, 7-7-1985,ÂéüÒÑ
14,2004-11-07,1996-01-27, 3/3/1984, 7-11-2004,ÂéüÒÑ
15,2005-09-16,1987-09-02, 17/9/1985, 16-9-2005,ÂéüÒÑ
16,1988-09-17,1998-04-01, 8/12/1996, 17-9-1988,ÂéüÒÑ
